"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value","BAND","value_date","greenup.year","greenup.yday","GDD5.cum"
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2002001","2002-01-01","h11v04",2019042211832,1,11807,"MidGreenup","2002-04-30",2002,120,201
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2003001","2003-01-01","h11v04",2019042221610,1,12178,"MidGreenup","2003-05-06",2003,126,256.75
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2004001","2004-01-01","h11v04",2019046130638,1,12539,"MidGreenup","2004-05-01",2004,122,249.75
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2005001","2005-01-01","h11v04",2019046130745,1,12901,"MidGreenup","2005-04-28",2005,118,220
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2006001","2006-01-01","h11v04",2019046131057,1,13263,"MidGreenup","2006-04-25",2006,115,215
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2007001","2007-01-01","h11v04",2019046131443,1,13631,"MidGreenup","2007-04-28",2007,118,218.75
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2008001","2008-01-01","h11v04",2019046131708,1,14000,"MidGreenup","2008-05-01",2008,122,180.25
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2009001","2009-01-01","h11v04",2019046132105,1,14370,"MidGreenup","2009-05-06",2009,126,220.5
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2010001","2010-01-01","h11v04",2019046132324,1,14724,"MidGreenup","2010-04-25",2010,115,239.5
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2011001","2011-01-01","h11v04",2019046132537,1,15104,"MidGreenup","2011-05-10",2011,130,216.75
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2012001","2012-01-01","h11v04",2019046132930,1,15443,"MidGreenup","2012-04-13",2012,104,278
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2013001","2013-01-01","h11v04",2019046133329,1,15831,"MidGreenup","2013-05-06",2013,126,167.75
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2014001","2014-01-01","h11v04",2019046133637,1,16199,"MidGreenup","2014-05-09",2014,129,209.25
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2015001","2015-01-01","h11v04",2019046133933,1,16555,"MidGreenup","2015-04-30",2015,120,180.25
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2016001","2016-01-01","h11v04",2019046134232,1,16922,"MidGreenup","2016-05-01",2016,122,235.5
-7297638.56,4649343.11,463.312716528,1,1,"MidGreenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2017001","2017-01-01","h11v04",2019192220244,1,17283,"MidGreenup","2017-04-27",2017,117,276.75
